Company,Metric,Period,Value
Intel,Net Income (Normalized),FQ 2Q18,4940000
Intel,Net Income (Normalized),FQ 1Q18,4175000
Intel,Net Income (Normalized),FQ 4Q17,5181000
Intel,Net Income (Normalized),FQ 3Q17,4848000
Intel,Net Income (Normalized),FQ 2Q17,3506000
Intel,Net Income (Normalized),FQ 1Q17,3218000
Intel,Net Income (Normalized),FQ 4Q16,3865000
Intel,Net Income (Normalized),FQ 3Q16,3886000
Intel,Net Income (Normalized),FQ 2Q16,2859000
Intel,Net Income (Normalized),FQ 1Q16,2629000
Intel,Net Income (Normalized),FQ 4Q15,3727000
Intel,Net Income (Normalized),FQ 3Q15,3205000
Intel,Net Income (Normalized),FQ 2Q15,3055000
Intel,Net Income (Normalized),FQ 1Q15,2206000
Intel,Net Income (Normalized),FQ 4Q14,3724649.066
Intel,Net Income (Normalized),FQ 3Q14,3499250
Intel,Net Income (Normalized),FQ 2Q14,3029864
Intel,Net Income (Normalized),FQ 1Q14,2191003
Intel,Net Income (Normalized),FQ 4Q13,2870423.824
Intel,Net Income (Normalized),FQ 3Q13,2895104
Intel,Net Income (Normalized),FQ 2Q13,2228101
Intel,Net Income (Normalized),FQ 1Q13,2327906
Intel,Net Income (Normalized),FQ 4Q12,2609000
Intel,Net Income (Normalized),FQ 3Q12,3115000
Intel,Net Income (Normalized),FQ 2Q12,2973000
Intel,Net Income (Normalized),FQ 1Q12,2883000
Intel,Net Income (Normalized),FQ 4Q11,3523000
Intel,Net Income (Normalized),FQ 3Q11,3634000
Intel,Net Income (Normalized),FQ 2Q11,3128000
Intel,Net Income (Normalized),FQ 1Q11,3376900
Intel,Net Income (Normalized),FQ 4Q10,3196000
Intel,Net Income (Normalized),FQ 3Q10,3110709.245
Intel,Net Income (Normalized),FQ 2Q10,3047043.967
Intel,Net Income (Normalized),FQ 1Q10,2617744.631
Intel,Net Income (Normalized),FQ 4Q09,2470333.205
Intel,Net Income (Normalized),FQ 3Q09,2089832.543
Intel,Net Income (Normalized),FQ 2Q09,-136050
Intel,Net Income (Normalized),FQ 1Q09,1012000
Intel,Net Income (Normalized),FQ 4Q08,462292.6829
Intel,Net Income (Normalized),FQ 3Q08,2034616.308
Intel,Net Income (Normalized),FQ 2Q08,1641146.131
Intel,Net Income (Normalized),FQ 1Q08,1720832.335
Intel,Net Income (Normalized),FQ 4Q07,2426996.32
Intel,Net Income (Normalized),FQ 3Q07,1870425.09
Intel,Net Income (Normalized),FQ 2Q07,1353225.638
Intel,Net Income (Normalized),FQ 1Q07,1711991.458
Intel,Net Income (Normalized),FQ 4Q06,1493943.112
Intel,Net Income (Normalized),FQ 3Q06,1277332.415
Intel,Net Income (Normalized),FQ 2Q06,885000
Intel,Net Income (Normalized),FQ 1Q06,1357000
Intel,Net Income (Normalized),FQ 4Q05,2453000
Intel,Net Income (Normalized),FQ 3Q05,1995000
Intel,Net Income (Normalized),FQ 2Q05,2038000
Intel,Net Income (Normalized),FQ 1Q05,2178000
Intel,Net Income (Normalized),FQ 4Q04,2123000
Intel,Net Income (Normalized),FQ 3Q04,1906000
Intel,Net Income (Normalized),FQ 2Q04,1757000
Intel,Net Income (Normalized),FQ 1Q04,1730000
Intel,Net Income (Normalized),FQ 4Q03,2173000
Intel,Net Income (Normalized),FQ 3Q03,1657000
Intel,Net Income (Normalized),FQ 2Q03,896000
Intel,Net Income (Normalized),FQ 1Q03,915000
Intel,Net Income (Normalized),FQ 4Q02,1049000
Intel,Net Income (Normalized),FQ 3Q02,686000
Intel,Net Income (Normalized),FQ 2Q02,446000
Intel,Net Income (Normalized),FQ 1Q02,936000
